"ema","institucion","nombre_ema","comuna","region","latitud","longitud","fecha_de_alta"
264,"INIA","Tierra del Fuego","Primavera","Magallanes",-52.804319889,-69.273691,2013-05-08 12:24:25
265,"INIA","El Claro","Coyhaique","Aysén",-45.9812,-72.092267,2013-05-08 12:24:25
271,"INIA","Desagüe Rupanco","Puyehue","Los Lagos",-40.752634,-72.663894,2013-05-08 12:24:25
280,"FDF","El Guindo","La Ligua","Valparaíso",-32.35716683,-71.345472,2014-07-31 17:37:01
283,"INIA","Amolana Copiapo 2","Tierra Amarilla","Atacama",-28,-70,2014-10-07 12:22:43
294,"FDF","Placilla Chacarilla","Placilla","O'Higgins",-34.641583,-71.135667,2014-10-15 16:06:38
309,"INIA","Cerro Blanco","Arica","Arica y Parinacota",-18.575,-70.07,2015-02-24 08:54:28
310,"INIA","Chaca","Arica","Arica y Parinacota",-18.81,-70.156,2015-02-24 08:57:08
311,"INIA","Santa Amada","Linares","Maule",-35.761,-71.48,2015-02-24 09:26:20
313,"INIA","Marimenuco","Lonquimay","Araucanía",-38.731667,-71.140833,2015-07-03 11:22:01
318,"INIA","Las Palmas","Victoria","Araucanía",-38.227778,-72.273333,2015-07-03 11:33:49
319,"INIA","Surco y semilla","Collipulli","Araucanía",-38.0325,-72.285278,2015-07-03 11:35:03
324,"CEAZA","Ovalle","Ovalle","Coquimbo",-30.59203,-71.24797,2015-12-14 13:43:01
330,"CEAZA","El Tapado","Vicuña","Coquimbo",-30.1567,-69.91421,2016-01-13 16:43:14
332,"CEAZA","Hualtatas","Monte Patria","Coquimbo",-31.70732,-70.525,2016-01-13 16:44:57
335,"CEAZA","Pisco Elqui","Paiguano","Coquimbo",-30.11667,-70.48333,2016-01-13 16:48:08
338,"CEAZA","Tascadero","Monte Patria","Coquimbo",-31.26282,-70.54,2016-01-13 16:53:19
341,"CEAZA","Paso Aguas Negras","Vicuña","Coquimbo",-30.19137,-69.82546,2016-01-13 16:56:11
348,"CEAZA","Cachiyuyo","Vallenar","Atacama",-29.0572,-70.90517,2016-01-13 17:09:01
353,"CEAZA","Combarbalá","Combarbalá","Coquimbo",-31.20093,-71.00057,2016-01-13 17:28:32
357,"CEAZA","Salamanca","Salamanca","Coquimbo",-31.89,-70.75,2016-01-13 17:35:09
367,"METEOVID","Ventisquero - Leyda","San Antonio","Valparaíso",-33.68548333,-71.54943056,2016-07-11 11:05:56
368,"INIA","Monte Flor-Tucapel","Parral","Maule",-36.2448,-71.93429,2016-08-02 16:21:44
369,"INIA","Ponotro","Tirúa","Biobío",-38.27529,-73.498489,2016-08-02 16:27:05
371,"INIA","El Membrillo","Melipeuco","Araucanía",-38.834167,-71.6825,2016-08-02 16:42:56
